400
Graphene structure from TEM
C 165.000 91.000 0.000
C 175.000 291.000 0.000
C 276.000 24.000 0.000
C 43.000 292.000 0.000
C 49.000 6.000 0.000
C 106.000 157.000 0.000
C 117.000 26.000 0.000
C 118.000 136.000 0.000
C 121.000 180.000 0.000
C 143.000 247.000 0.000
C 165.000 202.000 0.000
C 264.000 267.000 0.000
C 351.000 88.000 0.000
C 80.000 270.000 0.000
C 86.000 203.000 0.000
C 138.000 313.000 0.000
C 154.000 5.000 0.000
C 162.000 268.000 0.000
C 179.000 113.000 0.000
C 197.000 245.000 0.000
C 212.000 47.000 0.000
C 249.000 134.000 0.000
C 261.000 335.000 0.000
C 265.000 46.000 0.000
C 269.000 200.000 0.000
C 282.000 177.000 0.000
C 292.000 267.000 0.000
C 32.000 315.000 0.000
C 79.000 48.000 0.000
C 96.000 291.000 0.000
C 128.000 335.000 0.000
C 171.000 246.000 0.000
C 186.000 269.000 0.000
C 187.000 157.000 0.000
C 234.000 112.000 0.000
C 337.000 176.000 0.000
C 91.000 248.000 0.000
C 154.000 114.000 0.000
C 235.000 5.000 0.000
C 244.000 312.000 0.000
C 254.000 178.000 0.000
C 254.000 289.000 0.000
C 297.000 199.000 0.000
C 302.000 24.000 0.000
C 330.000 132.000 0.000
C 341.000 331.000 0.000
C 38.000 27.000 0.000
C 49.000 114.000 0.000
C 53.000 49.000 0.000
C 336.000 287.000 0.000
C 11.000 28.000 0.000
C 76.000 6.000 0.000
C 112.000 313.000 0.000
C 138.000 91.000 0.000
C 234.000 334.000 0.000
C 238.000 267.000 0.000
C 275.000 243.000 0.000
C 6.000 315.000 0.000
C 74.000 337.000 0.000
C 144.000 27.000 0.000
C 233.000 222.000 0.000
C 266.000 156.000 0.000
C 276.000 133.000 0.000
C 342.000 51.000 0.000
C 42.000 71.000 0.000
C 43.000 181.000 0.000
C 219.000 200.000 0.000
C 224.000 25.000 0.000
C 308.000 289.000 0.000
C 342.000 21.000 0.000
C 342.000 35.000 0.000
C 342.000 45.000 0.000
C 342.000 58.000 0.000
C 58.000 204.000 0.000
C 70.000 71.000 0.000
C 107.000 49.000 0.000
C 133.000 157.000 0.000
C 144.000 136.000 0.000
C 186.000 47.000 0.000
C 204.000 290.000 0.000
C 213.000 268.000 0.000
C 244.000 200.000 0.000
C 319.000 155.000 0.000
C 329.000 242.000 0.000
C 342.000 27.000 0.000
C 11.000 137.000 0.000
C 74.000 226.000 0.000
C 96.000 180.000 0.000
C 107.000 269.000 0.000
C 149.000 291.000 0.000
C 171.000 26.000 0.000
C 202.000 178.000 0.000
C 213.000 157.000 0.000
C 282.000 288.000 0.000
C 313.000 110.000 0.000
C 348.000 266.000 0.000
C 16.000 182.000 0.000
C 27.000 49.000 0.000
C 49.000 225.000 0.000
C 65.000 248.000 0.000
C 133.000 46.000 0.000
C 155.000 335.000 0.000
C 169.000 135.000 0.000
C 32.000 203.000 0.000
C 38.000 137.000 0.000
C 89.000 136.000 0.000
C 111.000 202.000 0.000
C 148.000 180.000 0.000
C 208.000 5.000 0.000
C 239.000 47.000 0.000
C 292.000 155.000 0.000
C 296.000 311.000 0.000
C 63.000 27.000 0.000
C 64.000 136.000 0.000
C 86.000 314.000 0.000
C 175.000 180.000 0.000
C 196.000 135.000 0.000
C 309.000 177.000 0.000
C 5.000 204.000 0.000
C 11.000 249.000 0.000
C 160.000 48.000 0.000
C 175.000 68.000 0.000
C 181.000 224.000 0.000
C 191.000 91.000 0.000
C 196.000 26.000 0.000
C 239.000 156.000 0.000
C 245.000 91.000 0.000
C 250.000 24.000 0.000
C 24.000 159.000 0.000
C 27.000 270.000 0.000
C 121.000 70.000 0.000
C 153.000 224.000 0.000
C 181.000 335.000 0.000
C 217.000 90.000 0.000
C 219.000 312.000 0.000
C 258.000 84.000 0.000
C 270.000 90.000 0.000
C 292.000 45.000 0.000
C 302.000 244.000 0.000
C 313.000 333.000 0.000
C 22.000 115.000 0.000
C 70.000 292.000 0.000
C 122.000 291.000 0.000
C 127.000 224.000 0.000
C 288.000 111.000 0.000
C 328.000 23.000 0.000
C 341.000 221.000 0.000
C 351.000 309.000 0.000
C 17.000 293.000 0.000
C 79.000 158.000 0.000
C 91.000 27.000 0.000
C 102.000 335.000 0.000
C 103.000 5.000 0.000
C 207.000 112.000 0.000
C 207.000 223.000 0.000
C 228.000 289.000 0.000
C 297.000 89.000 0.000
C 305.000 133.000 0.000
C 348.000 60.000 0.000
