Node1,Node2
"(0.0, 204.0)","(11.0, 194.0)"
"(0.0, 235.0)","(0.0, 248.0)"
"(0.0, 89.0)","(0.0, 101.0)"
"(0.0, 89.0)","(13.0, 102.0)"
"(453.0, 0.0)","(436.0, 0.0)"
"(453.0, 0.0)","(465.0, 15.0)"
"(65.0, 0.0)","(53.0, 0.0)"
"(65.0, 0.0)","(81.0, 0.0)"
"(65.0, 0.0)","(71.0, 15.0)"
"(392.0, 0.0)","(376.0, 0.0)"
"(392.0, 0.0)","(412.0, 0.0)"
"(357.0, 97.0)","(365.0, 113.0)"
"(357.0, 97.0)","(346.47746354396816, 92.2009942554131)"
"(357.0, 97.0)","(339.27021652673443, 101.46745470614223)"
"(110.0, 0.0)","(96.0, 0.0)"
"(110.0, 0.0)","(118.0, 17.0)"
"(376.0, 0.0)","(367.06959787892185, 11.891670349094056)"
"(282.0, 65.0)","(297.0, 78.0)"
"(282.0, 65.0)","(288.0, 48.0)"
"(282.0, 65.0)","(267.0, 67.0)"
"(303.0, 43.0)","(288.0, 48.0)"
"(303.0, 43.0)","(314.0, 53.0)"
"(303.0, 43.0)","(307.3524083075564, 24.246950950066207)"
"(217.0, 87.0)","(200.0, 88.0)"
"(217.0, 87.0)","(225.0, 103.0)"
"(311.0, 0.0)","(326.0, 0.0)"
"(311.0, 0.0)","(293.0, 0.0)"
"(311.0, 0.0)","(327.0, 10.0)"
"(0.0, 0.0)","(17.0, 0.0)"
"(0.0, 0.0)","(0.0, 11.0)"
"(0.0, 47.0)","(0.0, 66.0)"
"(0.0, 47.0)","(14.0, 39.0)"
"(0.0, 47.0)","(0.0, 28.0)"
"(0.0, 280.0)","(0.0, 293.0)"
"(0.0, 280.0)","(9.0, 294.0)"
"(0.0, 280.0)","(5.67764030048609, 267.23413610251873)"
"(213.0, 0.0)","(221.0, 12.0)"
"(0.0, 66.0)","(9.0, 69.0)"
"(53.0, 0.0)","(43.0, 15.0)"
"(53.0, 0.0)","(35.0, 0.0)"
"(0.0, 153.0)","(0.0, 142.0)"
"(0.0, 153.0)","(0.0, 165.0)"
"(0.0, 153.0)","(16.0, 158.0)"
"(334.0, 260.0)","(332.0, 278.0)"
"(334.0, 260.0)","(352.0, 258.0)"
"(334.0, 260.0)","(327.94454264251, 248.7012152010605)"
"(181.0, 224.0)","(168.0, 235.0)"
"(181.0, 224.0)","(194.0, 235.0)"
"(181.0, 224.0)","(185.0, 209.0)"
"(252.0, 0.0)","(263.0, 0.0)"
"(252.0, 0.0)","(238.0, 11.0)"
"(252.0, 0.0)","(267.0, 13.0)"
"(0.0, 142.0)","(0.0, 129.0)"
"(0.0, 311.0)","(0.0, 293.0)"
"(0.0, 311.0)","(13.0, 325.0)"
"(0.0, 311.0)","(9.0, 294.0)"
"(96.0, 0.0)","(88.0, 16.0)"
"(96.0, 0.0)","(81.0, 0.0)"
"(465.0, 33.0)","(449.0, 40.0)"
"(465.0, 33.0)","(465.0, 15.0)"
"(263.0, 86.0)","(247.0, 84.0)"
"(263.0, 86.0)","(267.0, 67.0)"
"(263.0, 86.0)","(268.22735307114453, 103.52666813963765)"
"(172.0, 55.0)","(182.0, 40.0)"
"(172.0, 55.0)","(174.53314184710564, 69.5496464869642)"
"(172.0, 55.0)","(158.05943437914274, 56.16475916924435)"
"(120.0, 316.0)","(109.0, 307.0)"
"(120.0, 316.0)","(136.0, 311.0)"
"(80.0, 100.0)","(67.0, 115.0)"
"(80.0, 100.0)","(82.0, 82.0)"
"(80.0, 100.0)","(92.0, 114.0)"
"(237.0, 69.0)","(220.0, 67.0)"
"(237.0, 69.0)","(247.0, 84.0)"
"(237.0, 69.0)","(245.57600530269556, 56.16475916924435)"
"(429.0, 74.0)","(414.0, 83.0)"
"(429.0, 74.0)","(438.11246133451175, 61.31279275298277)"
"(406.0, 277.0)","(420.6091471498012, 283.70784357048166)"
"(406.0, 277.0)","(393.83937251436146, 288.85587715422)"
"(296.0, 99.0)","(313.0, 106.0)"
"(296.0, 99.0)","(283.6714538223597, 108.67470172337596)"
"(139.0, 0.0)","(131.0, 0.0)"
"(139.0, 0.0)","(133.0, 19.0)"
"(139.0, 0.0)","(150.0, 0.0)"
"(139.0, 0.0)","(141.0, 9.0)"
"(0.0, 114.0)","(0.0, 129.0)"
"(0.0, 114.0)","(0.0, 101.0)"
"(0.0, 114.0)","(13.0, 102.0)"
"(0.0, 114.0)","(8.0, 114.0)"
"(213.0, 27.0)","(221.0, 12.0)"
"(213.0, 27.0)","(222.92465753424662, 42.77987185152449)"
"(213.0, 27.0)","(200.27330976579762, 24.246950950066207)"
"(312.0, 165.0)","(320.0, 148.0)"
"(312.0, 165.0)","(295.0, 167.0)"
"(312.0, 165.0)","(322.79650905877156, 173.53992487847984)"
"(288.0, 125.0)","(273.0, 128.0)"
"(288.0, 125.0)","(299.0, 140.0)"
"(288.0, 125.0)","(283.6714538223597, 108.67470172337596)"
"(263.0, 0.0)","(283.0, 0.0)"
"(263.0, 0.0)","(267.0, 13.0)"
"(427.0, 139.0)","(437.08285461776404, 146.77015024304018)"
"(427.0, 139.0)","(410.3130799823243, 139.5629032258064)"
"(426.0, 164.0)","(437.0, 172.0)"
"(426.0, 164.0)","(411.0, 170.0)"
"(293.0, 299.0)","(298.08594785682726, 312.5368316394167)"
"(92.0, 154.0)","(74.0, 155.0)"
"(92.0, 154.0)","(93.0, 167.0)"
"(92.0, 154.0)","(100.0, 141.0)"
"(105.0, 102.0)","(120.0, 113.0)"
"(105.0, 102.0)","(92.0, 114.0)"
"(105.0, 102.0)","(106.57909854175875, 82.93453380468407)"
"(201.0, 202.0)","(214.0, 210.0)"
"(201.0, 202.0)","(185.0, 209.0)"
